common_name,inchikey,alternative_names
"2-Heptanol, (+)-",CETWDUZRCINIHU-ZETCQYMHSA-N,
Ethyl levulinate,GMEONFUTDYJSNV-UHFFFAOYSA-N,
Ethyl Acrylate,JIGUQPWFLRLWPJ-UHFFFAOYSA-N,
Methyl isobutyrate,BHIWKHZACMWKOJ-UHFFFAOYSA-N,
Diethyl Oxalate,WYACBZDAHNBPPB-UHFFFAOYSA-N,
Calcium hypochlorite,ZKQDCIXGCQPQNV-UHFFFAOYSA-N,
N-Methyldiethanolamine,CRVGTESFCCXCTH-UHFFFAOYSA-N,
Ethyl-bis(2-hydroxyethyl)azanium,AKNUHUCEWALCOI-UHFFFAOYSA-O,
Dibutyl hydrogen phosphite,OSPSWZSRKYCQPF-UHFFFAOYSA-N,
Triethyl phosphite,BDZBKCUKTQZUTL-UHFFFAOYSA-N,
"2,3-Dimethyl-2,3-dinitrobutane",DWCLXOREGBLXTD-UHFFFAOYSA-N,
2-Ethylhexanol,YIWUKEYIRIRTPP-UHFFFAOYSA-N,
Hexamethylenetetramine,VKYKSIONXSXAKP-UHFFFAOYSA-N,
Hydrogen Peroxide,MHAJPDPJQMAIIY-UHFFFAOYSA-N,
Nitric Acid,GRYLNZFGIOXLOG-UHFFFAOYSA-N,
Nitromethane,LYGJENNIWJXYER-UHFFFAOYSA-N,
Acetic Anhydride,WFDIJRYMOXRFFG-UHFFFAOYSA-N,
Formamide,ZHNUHDYFZUAESO-UHFFFAOYSA-N,
1-Phenyl-2-nitropropene,WGSVFWFSJDAYBM-BQYQJAHWSA-N,
Safrole,ZMQAAUBTXCXRIC-UHFFFAOYSA-N,
Diazinon,FHIVAFMUCKRCQO-UHFFFAOYSA-N,
Endosulfan,RDYMFSUJUZBWLH-UHFFFAOYSA-N,
CID 24505,YLMGFJXSLBMXHK-UHFFFAOYSA-M,
CID 24246,BAZAXWOYCMUHIX-UHFFFAOYSA-M,
Hydrogen Sulfide,RWSOTUBLDIXVET-UHFFFAOYSA-N,
Cyclonite,XTFIVUDBNACUBN-UHFFFAOYSA-N,
Hexamethylenetriperoxidediamine,HMWPNDNFTFSCEB-UHFFFAOYSA-N,
Nitroglycerin,SNIOPGDIGTZGOP-UHFFFAOYSA-N,
Pentaerythritol Tetranitrate,TZRXHJWUDPFEEY-UHFFFAOYSA-N,
Triacetone triperoxide,ZTLXICJMNFREPA-UHFFFAOYSA-N,
"2,4,6-Trinitrotoluene",SPSSULHKWOKEEL-UHFFFAOYSA-N,
2-Ethylpyrazine,KVFIJIWMDBAGDP-UHFFFAOYSA-N,
2-Ethyl-5(or6)-methylpyrazine,MHVIQJDXHDKUAM-UHFFFAOYSA-N,
2-Acetyl-3-methylpyrazine,QUNOTZOHYZZWKQ-UHFFFAOYSA-N,
"2-Ethyl-3,5-dimethyl-pyrazine",BOFLOMVCGPWPQC-UHFFFAOYSA-N,
2-Methoxypyrazine,WKSXRWSOSLGSTN-UHFFFAOYSA-N,
2-Ethyl-3-Methylpyrazine,LNIMMWYNSBZESE-UHFFFAOYSA-N,
2-Ethyl-3-methoxypyrazine,DPCILIMHENXHQX-UHFFFAOYSA-N,
"2,3-Diethylpyrazine",GZXXANJCCWGCSV-UHFFFAOYSA-N,
Chloropyrazine,GELVZYOEQVJIRR-UHFFFAOYSA-N,
2-Acetyl-3-ethylpyrazine,PPJSYGVFDJEMRP-UHFFFAOYSA-N,
Acetylpyrazine,DBZAKQWXICEWNW-UHFFFAOYSA-N,
"5-Methyl-6,7-dihydro-5H-cyclopentylpyrazine",YZEFQPIMXZVPKP-UHFFFAOYSA-N,
2-Methoxy-3-(1-methylpropyl)pyrazine,QMQDJVIJVPEQHE-UHFFFAOYSA-N,
Trimethylpyrazine,IAEGWXHKWJGQAZ-UHFFFAOYSA-N,
